Year,ExpandedAccess,Interventional,Observational
1999,0,3172,473
2000,0,1237,743
2001,0,1103,243
2002,3,1375,210
2003,4,1443,215
2004,4,1592,191
2005,10,11246,1636
2006,8,9302,1614
2007,28,11090,2237
2008,31,13895,2968
2009,18,7874,2103
2010,28,13845,3828
2011,28,14219,3968
2012,29,15517,4073
2013,48,16296,4140
2014,53,18684,4806
2015,58,19434,4831
2016,42,21715,6163
2017,58,22354,6947
2018,73,23102,7294
2019,66,23935,7973
2020,80,16415,6559
